x-axis,D0-D7
second,
-0.0091872,246
-0.0091868,0
-0.0091864,244
-0.009186,244
-0.0091856,244
-0.0091852,244
-0.0091848,0
-0.0091844,248
-0.009184,248
-0.0091836,242
-0.0091832,242
-0.0091828,0
-0.0091824,245
-0.009182,245
-0.0091816,248
-0.0091812,248
-0.0091808,0
-0.0091804,243
-0.00918,243
-0.0091796,246
-0.0091792,246
-0.0091788,0
-0.0091784,245
-0.009178,245
-0.0091776,246
-0.0091772,246
-0.0091768,0
-0.0091764,246
-0.009176,246
-0.0091756,244
-0.0091752,244
-0.0091748,0
-0.0091744,245
-0.009174,245
-0.0091736,245
-0.0091732,245
-0.0091728,0
-0.0091724,244
-0.009172,244
-0.0091716,242
-0.0091712,242
-0.0091708,0
-0.0091704,235
-0.00917,235
-0.0091696,237
-0.0091692,237
-0.0091688,0
-0.0091684,229
-0.009168,229
-0.0091676,224
-0.0091672,224
-0.0091668,0
-0.0091664,224
-0.009166,224
-0.0091656,224
-0.0091652,224
-0.0091648,0
-0.0091644,222
-0.009164,222
-0.0091636,221
-0.0091632,221
-0.0091628,0
-0.0091624,221
-0.009162,221
-0.0091616,220
-0.0091612,220
-0.0091608,0
-0.0091604,220
-0.00916,220
-0.0091596,218
-0.0091592,218
-0.0091588,0
-0.0091584,221
-0.009158,221
-0.0091576,221
-0.0091572,221
-0.0091568,0
-0.0091564,222
-0.009156,222
-0.0091556,221
-0.0091552,221
-0.0091548,0
-0.0091544,221
-0.009154,221
-0.0091536,221
-0.0091532,221
-0.0091528,0
-0.0091524,220
-0.009152,220
-0.0091516,222
-0.0091512,222
-0.0091508,0
-0.0091504,222
-0.00915,222
-0.0091496,223
-0.0091492,223
-0.0091488,0
-0.0091484,221
-0.009148,221
-0.0091476,216
-0.0091472,216
-0.0091468,0
-0.0091464,216
-0.009146,216
-0.0091456,213
-0.0091452,213
-0.0091448,0
-0.0091444,202
-0.009144,202
-0.0091436,197
-0.0091432,197
-0.0091428,0
-0.0091424,196
-0.009142,196
-0.0091416,197
-0.0091412,197
-0.0091408,0
-0.0091404,196
-0.00914,196
-0.0091396,195
-0.0091392,195
-0.0091388,0
-0.0091384,192
-0.009138,192
-0.0091376,203
-0.0091372,203
-0.0091368,0
-0.0091364,195
-0.009136,195
-0.0091356,189
-0.0091352,189
-0.0091348,0
-0.0091344,197
-0.009134,197
-0.0091336,189
-0.0091332,189
-0.0091328,0
-0.0091324,193
-0.009132,193
-0.0091316,193
-0.0091312,193
-0.0091308,0
-0.0091304,185
-0.00913,185
-0.0091296,180
-0.0091292,180
-0.0091288,0
-0.0091284,173
-0.009128,173
-0.0091276,170
-0.0091272,170
-0.0091268,0
-0.0091264,168
-0.009126,168
-0.0091256,168
-0.0091252,168
-0.0091248,0
-0.0091244,166
-0.009124,166
-0.0091236,164
-0.0091232,164
-0.0091228,0
-0.0091224,162
-0.009122,162
-0.0091216,160
-0.0091212,160
-0.0091208,0
-0.0091204,161
-0.00912,161
-0.0091196,157
-0.0091192,157
-0.0091188,0
-0.0091184,160
-0.009118,160
-0.0091176,165
-0.0091172,165
-0.0091168,0
-0.0091164,152
-0.009116,152
-0.0091156,151
-0.0091152,151
-0.0091148,0
-0.0091144,157
-0.009114,157
-0.0091136,154
-0.0091132,154
-0.0091128,0
-0.0091124,143
-0.009112,143
-0.0091116,149
-0.0091112,149
-0.0091108,0
-0.0091104,148
-0.00911,148
-0.0091096,143
-0.0091092,143
-0.0091088,0
-0.0091084,136
-0.009108,136
-0.0091076,139
-0.0091072,139
-0.0091068,0
-0.0091064,138
-0.009106,138
-0.0091056,133
-0.0091052,133
-0.0091048,0
-0.0091044,124
-0.009104,124
-0.0091036,129
-0.0091032,129
-0.0091028,0
-0.0091024,126
-0.009102,126
-0.0091016,125
-0.0091012,125
-0.0091008,0
-0.0091004,120
-0.0091,120
-0.0090996,107
-0.0090992,107
-0.0090988,0
-0.0090984,107
-0.009098,107
-0.0090976,114
-0.0090972,114
-0.0090968,0
-0.0090964,103
-0.009096,103
-0.0090956,108
-0.0090952,108
-0.0090948,0
-0.0090944,93
-0.009094,93
-0.0090936,92
-0.0090932,92
-0.0090928,0
-0.0090924,89
-0.009092,89
-0.0090916,85
-0.0090912,85
-0.0090908,0
-0.0090904,82
-0.00909,82
-0.0090896,79
-0.0090892,79
-0.0090888,0
-0.0090884,88
-0.009088,88
-0.0090876,74
-0.0090872,74
-0.0090868,0
-0.0090864,72
-0.009086,72
-0.0090856,69
-0.0090852,69
-0.0090848,0
-0.0090844,66
-0.009084,66
-0.0090836,64
-0.0090832,64
-0.0090828,0
-0.0090824,60
-0.009082,60
-0.0090816,57
-0.0090812,57
-0.0090808,0
-0.0090804,55
-0.00908,55
-0.0090796,52
-0.0090792,52
-0.0090788,0
-0.0090784,49
-0.009078,49
-0.0090776,46
-0.0090772,46
-0.0090768,0
-0.0090764,43
-0.009076,43
-0.0090756,40
-0.0090752,40
-0.0090748,0
-0.0090744,37
-0.009074,37
-0.0090736,35
-0.0090732,35
-0.0090728,0
-0.0090724,31
-0.009072,31
-0.0090716,29
-0.0090712,29
-0.0090708,0
-0.0090704,28
-0.00907,28
-0.0090696,23
-0.0090692,23
-0.0090688,0
-0.0090684,20
-0.009068,20
-0.0090676,17
-0.0090672,17
-0.0090668,0
-0.0090664,14
-0.009066,14
-0.0090656,14
-0.0090652,14
-0.0090648,0
-0.0090644,9
-0.009064,9
-0.0090636,6
-0.0090632,6
-0.0090628,0
-0.0090624,3
-0.009062,3
-0.0090616,2
-0.0090612,2
-0.0090608,0
-0.0090604,253
-0.00906,253
-0.0090596,249
-0.0090592,249
-0.0090588,0
-0.0090584,248
-0.009058,248
-0.0090576,246
-0.0090572,246
-0.0090568,0
-0.0090564,242
-0.009056,242
-0.0090556,238
-0.0090552,238
-0.0090548,0
-0.0090544,235
-0.009054,235
-0.0090536,231
-0.0090532,231
-0.0090528,0
-0.0090524,229
-0.009052,229
-0.0090516,227
-0.0090512,227
-0.0090508,0
-0.0090504,224
-0.00905,224
-0.0090496,220
-0.0090492,220
-0.0090488,0
-0.0090484,219
-0.009048,219
-0.0090476,214
-0.0090472,214
-0.0090468,0
-0.0090464,211
-0.009046,211
-0.0090456,209
-0.0090452,209
-0.0090448,0
-0.0090444,207
-0.009044,207
-0.0090436,204
-0.0090432,204
-0.0090428,0
-0.0090424,200
-0.009042,200
-0.0090416,198
